Competition,Season,Pos,Team,M,W,D,L,G,GA,PTS
Premier League,2017/18,2,Manchester United,38,25,6,7,68,28,81
Premier League,2017/18,3,Tottenham,38,23,8,7,74,36,77
Premier League,2017/18,4,Liverpool,38,21,12,5,84,38,75
Premier League,2017/18,5,Chelsea,38,21,7,10,62,38,70
Premier League,2017/18,6,Arsenal,38,19,6,13,74,51,63
Premier League,2017/18,7,Burnley,38,14,12,12,36,39,54
Premier League,2017/18,8,Everton,38,13,10,15,44,58,49
Premier League,2017/18,9,Leicester,38,12,11,15,56,60,47
Premier League,2017/18,10,Newcastle United,38,12,8,18,39,47,44
Premier League,2017/18,11,Crystal Palace,38,11,11,16,45,55,44
Premier League,2017/18,12,Bournemouth,38,11,11,16,45,61,44
Premier League,2017/18,13,West Ham,38,10,12,16,48,68,42
Premier League,2017/18,14,Watford,38,11,8,19,44,64,41
Premier League,2017/18,15,Brighton,38,9,13,16,34,54,40
Premier League,2017/18,16,Huddersfield,38,9,10,19,28,58,37
Premier League,2017/18,17,Southampton,38,7,15,16,37,56,36
Premier League,2017/18,18,Swansea,38,8,9,21,28,56,33
Premier League,2017/18,19,Stoke,38,7,12,19,35,68,33
Premier League,2017/18,20,West Bromwich Albion,38,6,13,19,31,56,31
Premier League,2018/19,1,Manchester City,38,32,2,4,95,23,98
Premier League,2018/19,2,Liverpool,38,30,7,1,89,22,97
Premier League,2018/19,3,Chelsea,38,21,9,8,63,39,72
Premier League,2018/19,4,Tottenham,38,23,2,13,67,39,71
Premier League,2018/19,5,Arsenal,38,21,7,10,73,51,70
Premier League,2018/19,6,Manchester United,38,19,9,10,65,54,66
Premier League,2018/19,7,Wolverhampton Wanderers,38,16,9,13,47,46,57
Premier League,2018/19,8,Everton,38,15,9,14,54,46,54
Premier League,2018/19,9,Leicester,38,15,7,16,51,48,52
Premier League,2018/19,10,West Ham,38,15,7,16,52,55,52
Premier League,2018/19,11,Watford,38,14,8,16,52,59,50
Premier League,2018/19,12,Crystal Palace,38,14,7,17,51,53,49
Premier League,2018/19,13,Newcastle United,38,12,9,17,42,48,45
Premier League,2018/19,14,Bournemouth,38,13,6,19,56,70,45
Premier League,2018/19,15,Burnley,38,11,7,20,45,68,40
Premier League,2018/19,16,Southampton,38,9,12,17,45,65,39
Premier League,2018/19,17,Brighton,38,9,9,20,35,60,36
Premier League,2018/19,18,Cardiff,38,10,4,24,34,69,34
Premier League,2018/19,19,Fulham,38,7,5,26,34,81,26
Premier League,2018/19,20,Huddersfield,38,3,7,28,22,76,16
Premier League,2019/20,1,Liverpool,38,32,3,3,85,33,99
Premier League,2019/20,2,Manchester City,38,26,3,9,102,35,81
Premier League,2019/20,3,Manchester United,38,18,12,8,66,36,66
Premier League,2019/20,4,Chelsea,38,20,6,12,69,54,66
Premier League,2019/20,5,Leicester,38,18,8,12,67,41,62
Premier League,2019/20,6,Tottenham,38,16,11,11,61,47,59
Premier League,2019/20,7,Wolverhampton Wanderers,38,15,14,9,51,40,59
Premier League,2019/20,8,Arsenal,38,14,14,10,56,48,56
Premier League,2019/20,9,Sheffield United,38,14,12,12,39,39,54
Premier League,2019/20,10,Burnley,38,15,9,14,43,50,54
Premier League,2019/20,11,Southampton,38,15,7,16,51,60,52
Premier League,2019/20,12,Everton,38,13,10,15,44,56,49
Premier League,2019/20,13,Newcastle United,38,11,11,16,38,58,44
Premier League,2019/20,14,Crystal Palace,38,11,10,17,31,50,43
Premier League,2019/20,15,Brighton,38,9,14,15,39,54,41
Premier League,2019/20,16,West Ham,38,10,9,19,49,62,39
Premier League,2019/20,17,Aston Villa,38,9,8,21,41,67,35
Premier League,2019/20,18,Bournemouth,38,9,7,22,40,65,34
Premier League,2019/20,19,Watford,38,8,10,20,36,64,34
Premier League,2019/20,20,Norwich,38,5,6,27,26,75,21
Premier League,2020/21,1,Manchester City,38,27,5,6,83,32,86
Premier League,2020/21,2,Manchester United,38,21,11,6,73,44,74
Premier League,2020/21,3,Liverpool,38,20,9,9,68,42,69
Premier League,2020/21,4,Chelsea,38,19,10,9,58,36,67
Premier League,2020/21,5,Leicester,38,20,6,12,68,50,66
Premier League,2020/21,6,West Ham,38,19,8,11,62,47,65
Premier League,2020/21,7,Tottenham,38,18,8,12,68,45,62
Premier League,2020/21,8,Arsenal,38,18,7,13,55,39,61
Premier League,2020/21,9,Leeds,38,18,5,15,62,54,59
Premier League,2020/21,10,Everton,38,17,8,13,47,48,59
Premier League,2020/21,11,Aston Villa,38,16,7,15,55,46,55
Premier League,2020/21,12,Newcastle United,38,12,9,17,46,62,45
Premier League,2020/21,13,Wolverhampton Wanderers,38,12,9,17,36,52,45
Premier League,2020/21,14,Crystal Palace,38,12,8,18,41,66,44
Premier League,2020/21,15,Southampton,38,12,7,19,47,68,43
Premier League,2020/21,16,Brighton,38,9,14,15,40,46,41
Premier League,2020/21,17,Burnley,38,10,9,19,33,55,39
Premier League,2020/21,18,Fulham,38,5,13,20,27,53,28
Premier League,2020/21,19,West Bromwich Albion,38,5,11,22,35,76,26
Premier League,2020/21,20,Sheffield United,38,7,2,29,20,63,23
Premier League,2021/22,1,Manchester City,38,29,6,3,99,26,93
Premier League,2021/22,2,Liverpool,38,28,8,2,94,26,92
Premier League,2021/22,3,Chelsea,38,21,11,6,76,33,74
Premier League,2021/22,4,Tottenham,38,22,5,11,69,40,71
Premier League,2021/22,5,Arsenal,38,22,3,13,61,48,69
Premier League,2021/22,6,Manchester United,38,16,10,12,57,57,58
Premier League,2021/22,7,West Ham,38,16,8,14,60,51,56
Premier League,2021/22,8,Leicester,38,14,10,14,62,59,52
Premier League,2021/22,9,Brighton,38,12,15,11,42,44,51
Premier League,2021/22,10,Wolverhampton Wanderers,38,15,6,17,38,43,51
Premier League,2021/22,11,Newcastle United,38,13,10,15,44,62,49
Premier League,2021/22,12,Crystal Palace,38,11,15,12,50,46,48
Premier League,2021/22,13,Brentford,38,13,7,18,48,56,46
Premier League,2021/22,14,Aston Villa,38,13,6,19,52,54,45
Premier League,2021/22,15,Southampton,38,9,13,16,43,67,40
Premier League,2021/22,16,Everton,38,11,6,21,43,66,39
Premier League,2021/22,17,Leeds,38,9,11,18,42,79,38
Premier League,2021/22,18,Burnley,38,7,14,17,34,53,35
Premier League,2021/22,19,Watford,38,6,5,27,34,77,23
Premier League,2021/22,20,Norwich,38,5,7,26,23,84,22
Serie A,2015/16,1,Juventus,38,29,4,5,75,20,91
Serie A,2015/16,2,Napoli,38,25,7,6,80,32,82
Serie A,2015/16,3,Roma,38,23,11,4,83,41,80
Serie A,2015/16,4,Inter,38,20,7,11,50,38,67
Serie A,2015/16,5,Fiorentina,38,18,10,10,60,42,64
Serie A,2015/16,6,Sassuolo,38,16,13,9,49,40,61
Serie A,2015/16,7,AC Milan,38,15,12,11,49,43,57
Serie A,2015/16,8,Lazio,38,15,9,14,52,52,54
Serie A,2015/16,9,Chievo,38,13,11,14,43,45,50
Serie A,2015/16,10,Genoa,38,13,7,18,45,48,46
Serie A,2015/16,11,Empoli,38,12,10,16,40,49,46
Serie A,2015/16,12,Torino,38,12,9,17,52,55,45
Serie A,2015/16,13,Atalanta,38,11,12,15,41,47,45
Serie A,2015/16,14,Bologna,38,11,9,18,33,45,42
Serie A,2015/16,15,Sampdoria,38,10,10,18,48,61,40
Serie A,2015/16,16,Udinese,38,10,9,19,35,60,39
Serie A,2015/16,17,Palermo,38,10,9,19,38,65,39
Serie A,2015/16,18,Carpi,38,9,11,18,37,57,38
Serie A,2015/16,19,Frosinone,38,8,7,23,35,76,31
Serie A,2015/16,20,Verona,38,5,13,20,34,63,28
Serie A,2016/17,1,Juventus,38,29,4,5,77,27,91
Serie A,2016/17,2,Roma,38,28,3,7,90,38,87
Serie A,2016/17,3,Napoli,38,26,8,4,94,39,86
Serie A,2016/17,4,Atalanta,38,21,9,8,62,41,72
Serie A,2016/17,5,Lazio,38,21,7,10,74,51,70
Serie A,2016/17,6,AC Milan,38,18,9,11,57,45,63
Serie A,2016/17,7,Inter,38,19,5,14,72,49,62
Serie A,2016/17,8,Fiorentina,38,16,12,10,63,57,60
Serie A,2016/17,9,Torino,38,13,14,11,71,66,53
Serie A,2016/17,10,Sassuolo,38,14,7,17,60,61,49
Serie A,2016/17,11,Sampdoria,38,12,12,14,49,55,48
Serie A,2016/17,12,Cagliari,38,14,5,19,55,76,47
Serie A,2016/17,13,Udinese,38,12,9,17,47,56,45
Serie A,2016/17,14,Chievo,38,12,7,19,43,61,43
Serie A,2016/17,15,Bologna,38,11,8,19,40,58,41
Serie A,2016/17,16,Genoa,38,9,9,20,38,64,36
Serie A,2016/17,17,Crotone,38,9,7,22,34,58,34
Serie A,2016/17,18,Empoli,38,8,8,22,29,61,32
Serie A,2016/17,19,Palermo,38,6,8,24,33,77,26
Serie A,2016/17,20,Pescara,38,2,9,27,35,83,15
Serie A,2017/18,1,Juventus,38,30,5,3,86,24,95
Serie A,2017/18,2,Napoli,38,28,7,3,77,29,91
Serie A,2017/18,3,Roma,38,23,8,7,61,28,77
Serie A,2017/18,4,Lazio,38,21,9,8,89,49,72
Serie A,2017/18,5,Inter,38,20,12,6,66,30,72
Serie A,2017/18,6,AC Milan,38,18,10,10,56,42,64
Serie A,2017/18,7,Atalanta,38,16,12,10,57,39,60
Serie A,2017/18,8,Fiorentina,38,16,9,13,54,46,57
Serie A,2017/18,9,Torino,38,13,15,10,54,46,54
Serie A,2017/18,10,Sampdoria,38,16,6,16,56,60,54
Serie A,2017/18,11,Sassuolo,38,11,10,17,29,59,43
Serie A,2017/18,12,Genoa,38,11,8,19,33,43,41
Serie A,2017/18,13,Udinese,38,12,4,22,48,63,40
Serie A,2017/18,14,Chievo,38,10,10,18,36,59,40
Serie A,2017/18,15,Bologna,38,11,6,21,40,52,39
Serie A,2017/18,16,Cagliari,38,11,6,21,33,61,39
Serie A,2017/18,17,SPAL 2013,38,8,14,16,39,59,38
Serie A,2017/18,18,Crotone,38,9,8,21,40,66,35
Serie A,2017/18,19,Verona,38,7,4,27,30,78,25
Serie A,2017/18,20,Benevento,38,6,3,29,33,84,21
Serie A,2018/19,1,Juventus,38,28,6,4,70,30,90
Serie A,2018/19,2,Napoli,38,24,7,7,74,36,79
Serie A,2018/19,3,Atalanta,38,20,9,9,77,46,69
Serie A,2018/19,4,Inter,38,20,9,9,57,33,69
Serie A,2018/19,5,AC Milan,38,19,11,8,55,36,68
Serie A,2018/19,6,Roma,38,18,12,8,66,48,66
Serie A,2018/19,7,Torino,38,16,15,7,52,37,63
Serie A,2018/19,8,Lazio,38,17,8,13,56,46,59
Serie A,2018/19,9,Sampdoria,38,15,8,15,60,51,53
Serie A,2018/19,10,Bologna,38,11,11,16,48,56,44
Serie A,2018/19,11,Sassuolo,38,9,16,13,53,60,43
Serie A,2018/19,12,Udinese,38,11,10,17,39,53,43
Serie A,2018/19,13,SPAL 2013,38,11,9,18,44,56,42
Serie A,2018/19,14,Fiorentina,38,8,17,13,47,45,41
Serie A,2018/19,15,Cagliari,38,10,11,17,36,54,41
Serie A,2018/19,16,Parma Calcio 1913,38,10,11,17,41,61,41
Serie A,2018/19,17,Genoa,38,8,14,16,39,57,38
Serie A,2018/19,18,Empoli,38,10,8,20,51,70,38
Serie A,2018/19,19,Frosinone,38,5,10,23,29,69,25
Serie A,2018/19,20,Chievo,38,2,14,22,25,75,20
Serie A,2019/20,1,Juventus,38,26,5,7,76,43,83
Serie A,2019/20,2,Inter,38,24,10,4,81,36,82
Serie A,2019/20,3,Atalanta,38,23,9,6,98,48,78
Serie A,2019/20,4,Lazio,38,24,6,8,79,42,78
Serie A,2019/20,5,Roma,38,21,7,10,77,51,70
Serie A,2019/20,6,AC Milan,38,19,9,10,63,46,66
Serie A,2019/20,7,Napoli,38,18,8,12,61,50,62
Serie A,2019/20,8,Sassuolo,38,14,9,15,69,63,51
Serie A,2019/20,9,Fiorentina,38,12,13,13,51,48,49
Serie A,2019/20,10,Parma Calcio 1913,38,14,7,17,56,57,49
Serie A,2019/20,11,Verona,38,12,13,13,47,51,49
Serie A,2019/20,12,Bologna,38,12,11,15,52,65,47
Serie A,2019/20,13,Cagliari,38,11,12,15,52,56,45
Serie A,2019/20,14,Udinese,38,12,9,17,37,51,45
Serie A,2019/20,15,Sampdoria,38,12,6,20,48,65,42
Serie A,2019/20,16,Torino,38,11,7,20,46,68,40
Serie A,2019/20,17,Genoa,38,10,9,19,47,73,39
Serie A,2019/20,18,Lecce,38,9,8,21,52,85,35
Serie A,2019/20,19,Brescia,38,6,7,25,35,79,25
Serie A,2019/20,20,SPAL 2013,38,5,5,28,27,77,20
Serie A,2020/21,1,Inter,38,28,7,3,89,35,91
Serie A,2020/21,2,AC Milan,38,24,7,7,74,41,79
Serie A,2020/21,3,Atalanta,38,23,9,6,90,47,78
Serie A,2020/21,4,Juventus,38,23,9,6,77,38,78
Serie A,2020/21,5,Napoli,38,24,5,9,86,41,77
Serie A,2020/21,6,Lazio,38,21,5,12,61,55,68
Serie A,2020/21,7,Roma,38,18,9,11,68,55,63
Serie A,2020/21,8,Sassuolo,38,17,11,10,64,56,62
Serie A,2020/21,9,Sampdoria,38,15,7,16,52,54,52
Serie A,2020/21,10,Verona,38,10,13,15,43,48,43
Serie A,2020/21,11,Genoa,38,10,12,16,47,58,42
Serie A,2020/21,12,Bologna,38,10,11,17,51,65,41
Serie A,2020/21,13,Fiorentina,38,9,13,16,47,59,40
Serie A,2020/21,14,Udinese,38,10,10,18,42,58,40
Serie A,2020/21,15,Spezia,38,9,12,17,52,72,39
Serie A,2020/21,16,Cagliari,38,9,10,19,43,59,37
Serie A,2020/21,17,Torino,38,7,16,15,50,69,37
Serie A,2020/21,18,Benevento,38,7,12,19,40,75,33
Serie A,2020/21,19,Crotone,38,6,5,27,45,92,23
Serie A,2020/21,20,Parma Calcio 1913,38,3,11,24,39,83,20
Serie A,2021/22,1,AC Milan,38,26,8,4,69,31,86
Serie A,2021/22,2,Inter,38,25,9,4,84,32,84
Serie A,2021/22,3,Napoli,38,24,7,7,74,31,79
Serie A,2021/22,4,Juventus,38,20,10,8,57,37,70
Serie A,2021/22,5,Lazio,38,18,10,10,77,58,64
Serie A,2021/22,6,Roma,38,18,9,11,59,43,63
Serie A,2021/22,7,Fiorentina,38,19,5,14,59,51,62
Serie A,2021/22,8,Atalanta,38,16,11,11,65,48,59
Serie A,2021/22,9,Verona,38,14,11,13,65,59,53
Serie A,2021/22,10,Torino,38,13,11,14,46,41,50
Serie A,2021/22,11,Sassuolo,38,13,11,14,64,66,50
Serie A,2021/22,12,Udinese,38,11,14,13,61,58,47
Serie A,2021/22,13,Bologna,38,12,10,16,44,55,46
Serie A,2021/22,14,Empoli,38,10,11,17,50,70,41
Serie A,2021/22,15,Sampdoria,38,10,6,22,46,63,36
Serie A,2021/22,16,Spezia,38,10,6,22,41,71,36
Serie A,2021/22,17,Salernitana,38,7,10,21,33,78,31
Serie A,2021/22,18,Cagliari,38,6,12,20,34,68,30
Serie A,2021/22,19,Genoa,38,4,16,18,27,60,28
Serie A,2021/22,20,Venezia,38,6,9,23,34,69,27
